     [A]        [1e-15erg/cm^2/s/A]
     6475.52    9.07359
     6476.52    9.10862
     6477.52    9.12932
     6478.51    8.17890
     6479.51    8.06592
     6480.51    8.47243
     6481.51    7.84428
     6482.51    8.25358
     6483.51    8.78169
     6484.51    8.08161
     6485.51    8.47058
     6486.51    9.22501
     6487.51    8.59067
     6488.50    9.35864
     6489.50    8.69411
     6490.50    8.23023
     6491.50    8.22917
     6492.50    8.75165
     6493.50    8.80824
     6494.50    8.34836
     6495.50    8.72851
     6496.50    9.37369
     6497.50    8.54873
     6498.49    8.55031
     6499.49    9.16288
     6500.49    9.10985
     6501.49    9.49987
     6502.49    9.53833
     6503.49    9.78478
     6504.49    9.98283
     6505.49    8.98037
     6506.49    9.32891
     6507.49    8.67737
     6508.48    9.46761
     6509.48    8.83162
     6510.48    7.86712
     6511.48    8.84519
     6512.48    9.83232
     6513.48    9.90201
     6514.48    8.84779
     6515.48    8.96976
     6516.48    9.26835
     6517.48    8.86270
     6518.47    9.63190
     6519.47    9.24417
     6520.47    9.75641
     6521.47    9.31593
     6522.47    9.29075
     6523.47    9.58817
     6524.47    9.96715
     6525.47    9.72944
     6526.47    9.18784
     6527.47    9.23763
     6528.46    9.37109
     6529.46   10.07479
     6530.46    9.26595
     6531.46    9.73980
     6532.46    9.98096
     6533.46    9.36213
     6534.46    9.16745
     6535.46    9.00545
     6536.46    9.01126
     6537.46    9.75859
     6538.45   10.15110
     6539.45   10.01061
     6540.45    11.1908
     6541.45    10.8929
     6542.45    12.8220
     6543.45    14.8430
     6544.45    19.7732
     6545.45    33.2245
     6546.45    54.6255
     6547.45    73.7083
     6548.44    77.6384
     6549.44    52.1659
     6550.44    26.8217
     6551.44    16.6854
     6552.44    12.1964
     6553.44    13.3706
     6554.44    13.7233
     6555.44    15.8830
     6556.44    19.1236
     6557.44    25.7142
     6558.43    41.9647
     6559.43    84.8320
     6560.43    172.939
     6561.43    296.913
     6562.43    383.120
     6563.43    348.315
     6564.43    203.729
     6565.43    80.8662
     6566.43    31.2410
     6567.43    20.1688
     6568.42    15.2846
     6569.42    12.6960
     6570.42    12.2387
     6571.42    12.7225
     6572.42    11.7654
     6573.42    12.5236
     6574.42    12.9700
     6575.42    13.6093
     6576.42    13.8946
     6577.42    17.3591
     6578.41    22.1400
     6579.41    34.9702
     6580.41    63.7521
     6581.41    120.849
     6582.41    195.774
     6583.41    230.869
     6584.41    178.542
     6585.41    82.5527
     6586.41    33.1206
     6587.41    17.0355
     6588.40    13.3122
     6589.40    12.1900
     6590.40   10.46211
     6591.40    10.7960
     6592.40   10.26720
     6593.40   10.39371
     6594.40   10.46140
     6595.40    9.68353
     6596.40    9.71167
     6597.40    9.97933
     6598.39    9.74858
     6599.39    10.6246
     6600.39   10.28146
     6601.39   10.11325
     6602.39    8.98385
     6603.39    9.34443
     6604.39    9.40240
     6605.39    9.23202
     6606.39    9.75622
     6607.39    9.15815
     6608.38    9.61484
     6609.38    9.57002
     6610.38    8.64814
     6611.38    8.39619
     6612.38    9.17350
     6613.38    8.59146
     6614.38    8.78781
     6615.38    9.68465
     6616.38    9.74527
     6617.38   10.09712
     6618.37    9.49441
     6619.37   10.01057
     6620.37    9.84491
     6621.37    9.51916
     6622.37    9.28798
     6623.37    8.89125
     6624.37    8.70175
     6625.37    8.91709
     6626.37    9.09574
     6627.37    8.92269
     6628.36    9.03003
     6629.36    8.74279
     6630.36    8.30738
     6631.36    8.14427
     6632.36    8.34372
     6633.36    8.18095
     6634.36    8.08436
     6635.36    8.75963
     6636.36    8.72136
     6637.35    8.65251
     6638.35    8.92594
     6639.35    9.22808
     6640.35    8.94067
     6641.35    8.65727
     6642.35    8.67085
     6643.35    9.42293
     6644.35    8.63695
     6645.35    8.66412
     6646.35    8.70716
     6647.35    8.44687
     6648.34    8.61215
     6649.34    8.77929
     6650.34    8.47551
     6651.34    8.09930
     6652.34    8.95887
     6653.34    8.60694
     6654.34    8.83195
     6655.34    8.41202
     6656.34    7.80234
     6657.34    8.82710
     6658.33    8.43850
     6659.33    8.29261
     6660.33    8.53003
     6661.33    8.17270
     6662.33    8.53159
     6663.33    8.70214
     6664.33    8.28585
     6665.33    7.76452
     6666.33    8.54472
     6667.33    8.77970
     6668.32    8.60962
     6669.32    8.34116
     6670.32    7.59893
     6671.32    8.37092
     6672.32    8.31146
     6673.32    8.14087
     6674.32    8.30476
     6675.32    8.85317
     6676.32   10.17017
     6677.32    10.6355
     6678.31    10.9997
     6679.31    8.98701
     6680.31    8.54760
     6681.31    7.84892
     6682.31    8.07972
     6683.31    7.68768
     6684.31    8.03333
     6685.31    7.90989
     6686.31    7.68028
     6687.31    7.85078
     6688.30    8.01202
     6689.30    7.95509
     6690.30    7.85962
     6691.30    8.13168
     6692.30    8.36685
     6693.30    7.83547
     6694.30    7.78258
     6695.30    7.73356
     6696.30    7.88163
     6697.30    8.08285
     6698.29    7.64395
     6699.29    8.20136
     6700.29    7.99696
     6701.29    7.56310
     6702.29    7.72654
     6703.29    7.99805
     6704.29    7.51641
     6705.29    8.12577
     6706.29    8.06644
     6707.29    8.15883
     6708.28    8.26316
     6709.28    8.16890
     6710.28    8.15483
     6711.28    9.41490
     6712.28    10.9090
     6713.28    14.5858
     6714.28    23.6128
     6715.28    35.6687
     6716.28    42.6418
     6717.28    34.3818
     6718.27    17.3520
     6719.27    9.61779
     6720.27    8.08647
     6721.27    7.86496
     6722.27    7.56876
     6723.27    7.91697
     6724.27    8.21104
     6725.27    8.71796
     6726.27   10.20147
     6727.27    12.8532
     6728.26    20.7734
     6729.26    32.4715
     6730.26    46.2360
     6731.26    45.3649
     6732.26    25.6751
     6733.26    12.7682
     6734.26    8.45005
     6735.26    7.92392
     6736.26    7.57073
     6737.26    7.52392
     6738.25    7.30961
     6739.25    7.43619
     6740.25    7.08464
     6741.25    7.01169
     6742.25    7.01802
     6743.25    7.29832
     6744.25    7.26671
     6745.25    7.25467
     6746.25    7.29498
     6747.25    7.47196
     6748.24    7.21258
     6749.24    6.90133
     6750.24    7.37857
     6751.24    6.80353
     6752.24    6.92669
     6753.24    7.41399
     6754.24    7.11728
     6755.24    7.05351
     6756.24    7.26328
     6757.24    7.25151
     6758.23    7.40920
     6759.23    7.53828
     6760.23    6.94431
     6761.23    6.85079
     6762.23    6.86668
     6763.23    7.27066
     6764.23    7.20933
     6765.23    7.08320
     6766.23    6.94008
     6767.23    7.14451
     6768.22    7.17180
     6769.22    6.13499
     6770.22    6.85629
     6771.22    6.86387
     6772.22    7.06937
     6773.22    7.16129
     6774.22    6.91366
     6775.22    6.98225
     6776.22    6.81300
     6777.22    6.72571
     6778.21    7.19996
     6779.21    7.06843
     6780.21    6.73849
     6781.21    7.15362
     6782.21    7.30580
     6783.21    6.67005
     6784.21    6.40006
     6785.21    6.96957
     6786.21    6.76583
     6787.21    6.64815
     6788.20    7.19422
     6789.20    7.17405
     6790.20    6.66854
     6791.20    6.61550
     6792.20    6.63411
     6793.20    6.76411
     6794.20    6.51034
     6795.20    6.65702
     6796.20    6.75334
     6797.20    7.00869
     6798.19    6.91245
     6799.19    6.75789
     6800.19    7.33450
     6801.19    6.93701
     6802.19    6.83817
     6803.19    7.03401
     6804.19    6.91104
     6805.19    6.68488
     6806.19    6.49759
     6807.19    7.14368
     6808.18    6.81135
     6809.18    6.92245
     6810.18    6.89717
     6811.18    6.79103
     6812.18    6.73835
     6813.18    6.95704
     6814.18    6.97365
     6815.18    6.50814
     6816.18    6.62300
     6817.18    6.85829
     6818.17    6.32646
     6819.17    6.35012
     6820.17    6.53064
     6821.17    6.61526
     6822.17    6.84689
     6823.17    6.83376
     6824.17    6.86505
     6825.17    7.05801
     6826.17    6.72854
     6827.17    7.09761
     6828.16    6.84241
     6829.16    7.15835
     6830.16    6.93743
     6831.16    6.92935
     6832.16    6.78601
     6833.16    6.95194
     6834.16    6.88654
     6835.16    6.68676
     6836.16    7.17609
     6837.16    6.51688
     6838.15    6.68286
     6839.15    6.54860
     6840.15    6.32186
     6841.15    6.16335
     6842.15    6.65468
     6843.15    6.83841
